N,Area,RelativeError,Run
100,1.0478,0.10935,0
100,0.9633,0.0198862,1
100,0.8281,0.123256,2
100,0.9126,0.0337921,3
100,0.9295,0.0158993,4
100,0.8957,0.0516848,5
100,0.8112,0.141149,6
100,0.9126,0.0337921,7
100,0.9971,0.0556716,8
100,0.8112,0.141149,9
600,1.00273,0.0616359,0
600,0.932317,0.0129172,1
600,0.932317,0.0129172,2
600,1.014,0.0735644,3
600,0.966117,0.0228683,4
600,0.9126,0.0337921,5
600,0.98865,0.0467253,6
600,1.03372,0.0944392,7
600,0.98865,0.0467253,8
600,0.890067,0.0576491,9
1100,0.966373,0.0231394,0
1100,0.927964,0.0175259,1
1100,0.944864,0.000366802,2
1100,0.9464,0.00199341,3
1100,0.934109,0.0110195,4
1100,0.917209,0.0289122,5
1100,0.9295,0.0158993,6
1100,0.906455,0.0402985,7
1100,0.970982,0.0280192,8
1100,0.917209,0.0289122,9
1600,0.940062,0.00471636,0
1600,0.905206,0.0416201,1
1600,0.93795,0.00695296,2
1600,0.969637,0.0265959,3
1600,0.953794,0.00982149,4
1600,0.947456,0.00311171,5
1600,0.926331,0.0192542,6
1600,0.953794,0.00982149,7
1600,0.947456,0.00311171,8
1600,0.948512,0.00423001,9
2100,0.915014,0.031236,0
2100,0.913405,0.03294,1
2100,0.9633,0.0198862,2
2100,0.986638,0.0445952,3
2100,0.945595,0.00114138,4
2100,0.950424,0.00625359,5
2100,0.950424,0.00625359,6
2100,0.96491,0.0215902,7
2100,0.957667,0.0139219,8
2100,0.955252,0.0113658,9
2600,0.93405,0.011082,0
2600,0.93795,0.00695296,1
2600,0.94965,0.00543433,2
2600,0.97435,0.0315853,3
2600,0.9347,0.0103939,4
2600,0.95745,0.0136925,5
2600,0.92105,0.0248457,6
2600,0.93015,0.0152111,7
2600,0.9308,0.014523,8
2600,0.923,0.0227811,9
3100,0.936042,0.0089731,0
3100,0.94749,0.00314778,1
3100,0.923503,0.0222484,2
3100,0.961665,0.0181546,3
3100,0.949126,0.00487934,4
3100,0.951852,0.00776527,5
3100,0.934952,0.0101275,6
3100,0.951852,0.00776527,7
3100,0.945855,0.00141623,8
3100,0.935497,0.00955029,9
3600,0.944992,0.000502353,0
3600,0.946869,0.00249043,1
3600,0.9464,0.00199341,2
3600,0.913069,0.033295,3
3600,0.930439,0.0149053,4
3600,0.929969,0.0154023,5
3600,0.945931,0.00149639,6
3600,0.939358,0.00546189,7
3600,0.983486,0.041258,8
3600,0.944522,5.33217e-06,9
4100,0.939805,0.00498912,0
4100,0.948049,0.00373905,1
4100,0.971132,0.0281779,2
4100,0.957941,0.0142128,3
4100,0.937332,0.00760757,4
4100,0.957529,0.0137764,5
4100,0.96701,0.0238138,6
4100,0.956705,0.0129036,7
4100,0.947637,0.00330264,8
4100,0.938568,0.00629834,9
4600,0.947502,0.00316033,0
4600,0.93942,0.00539707,1
4600,0.939052,0.00578604,2
4600,0.950809,0.00666109,3
4600,0.949339,0.0051052,4
4600,0.943828,0.000729394,5
4600,0.939787,0.00500809,6
4600,0.947135,0.00277136,7
4600,0.96477,0.021442,8
4600,0.956687,0.0128846,9
5100,0.944743,0.000239224,0
5100,0.935133,0.00993508,1
5100,0.947063,0.00269509,2
5100,0.93182,0.0134435,3
5100,0.922541,0.0232669,4
5100,0.955016,0.0111152,5
5100,0.956673,0.0128694,6
5100,0.945075,0.000590062,7
5100,0.940435,0.00432167,8
5100,0.949382,0.00515096,9
5600,0.961187,0.0176496,0
5600,0.953341,0.00934222,1
5600,0.939157,0.0056749,2
5600,0.935234,0.00982857,3
5600,0.938554,0.00631393,4
5600,0.949116,0.00486903,5
5600,0.93795,0.00695296,6
5600,0.963904,0.0205252,7
5600,0.947004,0.00263244,8
5600,0.931311,0.0139822,9
6100,0.956651,0.0128464,0
6100,0.945015,0.000526796,1
6100,0.948062,0.00375336,2
6100,0.953049,0.00903318,3
6100,0.954711,0.0107931,4
6100,0.945292,0.00082012,5
6100,0.948893,0.00463333,6
6100,0.956374,0.0125531,7
6100,0.935595,0.00944621,8
6100,0.937811,0.00709962,9
6600,0.950241,0.00605995,0
6600,0.934621,0.0104773,1
6600,0.946912,0.00253562,2
6600,0.95613,0.0122953,3
6600,0.960739,0.0171751,4
6600,0.965348,0.022055,5
6600,0.942559,0.00207312,6
6600,0.947424,0.00307782,7
6600,0.939742,0.00505524,8
6600,0.948192,0.00389113,9
7100,0.934975,0.0101031,0
7100,0.945686,0.00123738,1
7100,0.928786,0.0166554,2
7100,0.958777,0.015098,3
7100,0.974487,0.0317306,4
7100,0.9464,0.00199341,5
7100,0.944972,0.000481352,6
7100,0.946162,0.0017414,7
7100,0.933785,0.0113631,8
7100,0.934737,0.0103551,9
7600,0.939729,0.00506951,0
7600,0.944843,0.000345399,1
7600,0.939729,0.00506951,2
