N,Area,RelativeError,Run
100,0.777771,0.176541,0
100,0.874992,0.073609,1
100,0.874992,0.073609,2
100,0.486107,0.485338,3
100,1.26388,0.33812,4
100,0.777771,0.176541,5
100,1.06943,0.132256,6
100,0.583328,0.382406,7
100,0.68055,0.279474,8
100,0.874992,0.073609,9
600,0.939806,0.00498743,0
600,0.939806,0.00498743,1
600,1.00462,0.0636341,2
600,0.907399,0.0392982,3
600,0.810178,0.142231,4
600,1.02082,0.0807895,5
600,0.842585,0.10792,6
600,0.712957,0.245163,7
600,0.712957,0.245163,8
600,0.95601,0.012168,9
1100,0.910345,0.036179,0
1100,1.06943,0.132256,1
1100,0.98989,0.0480383,2
1100,0.93686,0.00810659,3
1100,0.848477,0.101681,4
1100,0.998729,0.0573958,5
1100,0.963375,0.0199659,6
1100,0.928022,0.0174641,7
1100,0.857316,0.092324,8
1100,0.954537,0.0106084,9
1600,1.05728,0.119389,0
1600,0.844611,0.105775,1
1600,0.887145,0.0607424,2
1600,0.966137,0.0228901,3
1600,0.935756,0.00927627,4
1600,0.923603,0.0221428,5
1600,0.996519,0.0550564,6
1600,0.86284,0.0864755,7
1600,0.887145,0.0607424,8
1600,0.972214,0.0293234,9
2100,0.870363,0.0785105,0
2100,0.90277,0.0441997,1
2100,0.972214,0.0293234,2
2100,1.14814,0.215582,3
2100,0.925918,0.019692,4
2100,0.89814,0.0491013,5
2100,0.962954,0.0195203,6
2100,0.962954,0.0195203,7
2100,0.930547,0.0147905,8
2100,0.976843,0.0342249,9
2600,0.912385,0.0340196,0
2600,0.983431,0.0412002,1
2600,0.987171,0.0451591,2
2600,0.848817,0.101322,3
2600,1.00587,0.0649538,4
2600,0.871253,0.0775679,5
2600,1.01708,0.0768306,6
2600,0.912385,0.0340196,7
2600,0.848817,0.101322,8
2600,1.02082,0.0807895,9
3100,0.987894,0.0459253,0
3100,0.969077,0.026003,1
3100,0.997303,0.0558865,2
3100,0.962805,0.0193622,3
3100,0.887537,0.0603274,4
3100,0.912626,0.0337642,5
3100,0.994167,0.0525661,6
3100,0.947124,0.00276017,7
3100,0.896945,0.0503662,8
3100,1.01612,0.0758089,9
3600,0.991118,0.049338,0
3600,0.983016,0.0407603,1
3600,0.966812,0.0236049,2
3600,0.915501,0.0307205,3
3600,0.929004,0.0164244,4
3600,1.01002,0.0693526,5
3600,0.972214,0.0293234,6
3600,0.980315,0.037901,7
3600,0.915501,0.0307205,8
3600,0.95601,0.012168,9
4100,0.998297,0.0569393,0
4100,0.957986,0.0142601,1
4100,1.03624,0.0971081,2
4100,0.957986,0.0142601,3
4100,0.901076,0.045993,4
4100,0.957986,0.0142601,5
4100,0.924789,0.0208875,6
4100,0.915304,0.0309297,7
4100,0.955615,0.0117495,8
4100,0.988812,0.0468972,9
4600,0.953192,0.00918442,0
4600,0.904581,0.0422818,1
4600,0.932057,0.0131922,2
4600,0.936284,0.00871686,3
4600,0.976441,0.0337987,4
4600,0.879219,0.0691337,5
4600,0.919376,0.0266181,6
4600,0.948965,0.0047091,7
4600,0.936284,0.00871686,8
